PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	VelInc_X	VelInc_Y	VelInc_Z
14776	10049696	8.584425	-3.137999	8.618825	0.365315	3.696088	-0.221501	0.021558	-0.007861	0.021444
14777	10049721	-0.475727	-2.359911	11.118127	0.534969	3.990016	-0.020002	-0.001051	-0.005918	0.027797
14778	10049746	-4.225028	2.058788	11.127034	0.484421	4.155775	0.099558	-0.010419	0.005129	0.027875
14779	10049771	-0.408213	2.656418	9.748864	0.648176	4.415310	-0.072298	-0.000885	0.006621	0.024383
14780	10049796	0.608970	2.474613	9.967886	0.682783	4.736416	-0.169505	0.001671	0.006165	0.024915
14781	10049821	0.771735	-0.115147	12.243768	0.852366	5.041237	-0.165642	0.002122	-0.000321	0.030596
14782	10049846	-5.117349	1.704765	12.313689	0.866269	5.370016	-0.178303	-0.012585	0.004231	0.030874
14783	10049871	-5.084467	3.261817	12.318702	1.002027	5.535379	-0.342402	-0.012494	0.008121	0.030894
14784	10049896	-2.021824	2.531242	13.090986	0.968308	5.681560	-0.452285	-0.004818	0.006291	0.032770
14785	10049921	-0.685781	1.074682	14.650664	1.033269	5.807132	-0.511380	-0.001447	0.002640	0.036641
14786	10049946	-0.367288	1.042827	16.742375	1.054168	6.026727	-0.598106	-0.000601	0.002552	0.041865
14787	10049971	0.772019	-0.209237	15.144289	1.126620	6.239965	-0.648678	0.002225	-0.000578	0.037843
14788	10049996	0.227252	-0.111370	16.107463	1.163261	6.348240	-0.581824	0.000887	-0.000338	0.040262
14789	10050021	-2.263649	0.410840	17.914094	1.096847	6.540960	-0.555025	-0.005292	0.000969	0.044831
