PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Latitude	Longitude	Altitude
09304	14741551	-2.635627	-0.008595	9.496269	-0.042257	0.026032	0.000405	39.978643390	116.338923924	46.130214
09305	14741576	-2.661794	-0.020928	9.470927	-0.037013	0.023133	0.000760	39.978643389	116.338923925	46.130119
09306	14741601	-2.679774	-0.001816	9.516222	-0.039375	0.021239	0.008690	39.978643388	116.338923926	46.130024
09307	14741626	-2.671474	-0.003083	9.497589	-0.035343	0.019567	0.011101	39.978643387	116.338923927	46.129320
09308	14741651	-2.631443	0.016164	9.483035	-0.028370	0.016072	0.005968	39.978643387	116.338923927	46.129225
09309	14741676	-2.584499	0.013540	9.455112	-0.035894	0.015663	-0.000350	39.978643386	116.338923928	46.129130
09310	14741701	-2.594237	0.016218	9.479053	-0.034645	0.019991	-0.002217	39.978643385	116.338923929	46.129035
09311	14741726	-2.630093	-0.003133	9.490966	-0.033672	0.018263	0.004423	39.978643384	116.338923930	46.128941
09312	14741751	-2.661874	-0.003158	9.516228	-0.035168	0.014187	0.006101	39.978643383	116.338923931	46.128847
09313	14741776	-2.607949	0.014893	9.459092	-0.037706	0.016282	0.002515	39.978643382	116.338923931	46.128753
09314	14741801	-2.592567	0.061965	9.390063	-0.035794	0.013500	0.006351	39.978643381	116.338923932	46.128659
09315	14741826	-2.570522	0.053676	9.396710	-0.037853	0.018793	0.005518	39.978643380	116.338923933	46.128667
09316	14741851	-2.600918	0.037105	9.413933	-0.037339	0.015548	-0.000046	39.978643379	116.338923934	46.128573
09317	14741876	-2.605068	0.052162	9.431277	-0.037275	0.017695	0.003833	39.978643378	116.338923935	46.128478
09318	14741901	-2.516868	0.082397	9.447396	-0.036110	0.014301	0.000907	39.978643377	116.338923935	46.128383
09319	14741926	-2.640854	0.068772	9.414009	-0.043973	0.025176	-0.002235	39.978643376	116.338923936	46.128288
09320	14741951	-2.601421	-0.118860	9.529182	-0.039482	0.012106	-0.006381	39.978643375	116.338923937	46.128193
09321	14741976	-2.619137	-0.092442	9.458731	-0.035942	0.017324	-0.003356	39.978643374	116.338923938	46.128099
09322	14742001	-2.598434	-0.055331	9.465520	-0.032336	0.018103	-0.001638	39.978643373	116.338923939	46.128004
09323	14742026	-2.598295	0.008042	9.452432	-0.037843	0.016901	0.009710	39.978643372	116.338923940	46.128025
09324	14742051	-2.591324	0.048043	9.436589	-0.044963	0.017701	0.007775	39.978643371	116.338923940	46.127930
09325	14742076	-2.627186	0.056216	9.456553	-0.041376	0.022040	-0.000711	39.978643370	116.338923941	46.127836
09326	14742101	-2.599667	0.045166	9.463192	-0.038178	0.017010	0.000823	39.978643369	116.338923942	46.127742
09327	14742126	-2.544530	-0.024938	9.437717	-0.037690	0.014305	0.001206	39.978643368	116.338923943	46.127647
09328	14742151	-2.500435	-0.056495	9.407031	-0.045200	0.019981	-0.000232	39.978643367	116.338923944	46.127552
09329	14742176	-2.523675	-0.013640	9.359257	-0.046332	0.024696	0.002882	39.978643366	116.338923945	46.127457
09330	14742201	-2.552727	0.031537	9.428574	-0.036852	0.028045	-0.000174	39.978643365	116.338923945	46.127361
09332	14742226	-2.522622	-0.058109	9.465559	-0.034297	0.027134	-0.005662	39.978643364	116.338923946	46.127394
