PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Latitude	Longitude	Altitude
03796	35498749	16.934766	-4.376734	-4.594554	-1.966271	5.998345	-0.486819	39.979380106	116.338914845	46.152326
03797	35498774	9.884022	-8.418274	-1.709691	-1.819510	6.529006	-0.379671	39.979380121	116.338914830	46.153050
03798	35498799	1.233220	-15.923467	-1.688794	-1.687461	6.604564	-0.373504	39.979380138	116.338914815	46.153661
03799	35498824	-5.314215	-20.601821	-0.829190	-1.552494	6.674932	-0.483909	39.979380154	116.338914800	46.154192
03800	35498849	-7.660396	-21.719360	3.668632	-1.386069	6.657261	-0.658660	39.979380169	116.338914786	46.154670
03801	35498874	-9.731800	-20.494066	12.694324	-1.308117	6.547779	-0.831612	39.979380183	116.338914774	46.128625
03802	35498899	-13.389314	-18.468356	23.674275	-1.166302	6.497605	-1.011942	39.979380197	116.338914763	46.129137
03803	35498924	-17.165980	-14.799748	34.980928	-1.058318	6.361820	-1.049998	39.979380210	116.338914753	46.129778
03804	35498949	-19.524356	-13.399350	43.481928	-0.976018	6.090086	-0.995776	39.979380222	116.338914745	46.130609
03805	35498974	-22.711626	-14.633274	49.313392	-0.894750	5.753843	-0.923594	39.979380235	116.338914738	46.131954
03806	35498999	-25.373354	-14.312473	50.888185	-0.736636	5.254056	-0.840864	39.979380247	116.338914733	46.133289
03807	35499024	-25.944875	-14.375988	45.442061	-0.626504	4.655937	-0.779669	39.979380258	116.338914730	46.134885
03808	35499049	-21.998172	-13.801167	34.975546	-0.425117	4.215297	-0.808812	39.979380269	116.338914728	46.136698
03809	35499074	-15.661323	-11.974783	25.904505	-0.211933	3.877751	-0.839648	39.979380280	116.338914725	46.107318
03810	35499099	-10.126929	-8.961356	18.838751	-0.048211	3.695097	-0.850584	39.979380290	116.338914725	46.109356
03811	35499124	-6.374033	-6.089806	14.935704	0.072354	3.651930	-0.829591	39.979380300	116.338914726	46.111441
03812	35499149	-4.164474	-2.930820	12.567082	0.220152	3.659038	-0.811765	39.979380310	116.338914727	46.113548
03813	35499174	-2.820060	0.709105	11.489640	0.367805	3.676303	-0.758447	39.979380321	116.338914728	46.115568
03814	35499199	-1.538647	4.970733	11.579402	0.481615	3.680231	-0.656755	39.979380332	116.338914730	46.117687
03815	35499224	-1.755138	9.352202	12.067636	0.476614	3.717703	-0.486958	39.979380343	116.338914732	46.119812
03816	35499249	-2.923769	11.384448	13.774284	0.321778	3.764863	-0.361171	39.979380354	116.338914733	46.121953
