PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Latitude	Longitude	Altitude
41183	36415124	-2.066664	0.968230	9.440676	-0.069821	0.135176	-0.020047	39.979427508	116.338893434	46.874684
41184	36415149	-2.148078	1.009278	9.499285	-0.062324	0.138994	-0.017861	39.979427507	116.338893433	46.874645
41185	36415174	-2.040447	0.954503	9.422014	-0.076643	0.148916	-0.019859	39.979427506	116.338893431	46.874607
41186	36415199	-2.291192	0.928601	9.371233	-0.079647	0.150940	-0.018768	39.979427505	116.338893430	46.874567
41187	36415224	-2.234524	1.071647	9.387707	-0.073488	0.159407	-0.022925	39.979427504	116.338893429	46.874527
41188	36415249	-2.233213	1.078416	9.416990	-0.090855	0.155677	-0.024314	39.979427503	116.338893428	46.874486
41189	36415274	-2.226481	0.987500	9.440639	-0.088795	0.158623	-0.021915	39.979427502	116.338893427	46.874659
41190	36415299	-2.327691	0.900086	9.633183	-0.084604	0.158012	-0.023833	39.979427501	116.338893426	46.874618
41191	36415324	-2.312583	0.842404	9.607716	-0.088787	0.153637	-0.024928	39.979427500	116.338893425	46.874578
41192	36415349	-2.258692	0.808198	9.545120	-0.086303	0.159040	-0.019202	39.979427499	116.338893424	46.874539
41193	36415374	-2.295855	0.849510	9.541241	-0.086902	0.153540	-0.018764	39.979427498	116.338893423	46.874499
41194	36415399	-2.357846	0.893492	9.557314	-0.090034	0.157206	-0.015222	39.979427497	116.338893422	46.874460
41195	36415424	-2.385349	0.937508	9.566754	-0.084917	0.149316	-0.017935	39.979427496	116.338893421	46.874422
41196	36415449	-2.392298	0.978684	9.605462	-0.080629	0.148343	-0.015330	39.979427495	116.338893420	46.874384
41197	36415474	-2.397793	0.995126	9.613498	-0.081313	0.144581	-0.021103	39.979427494	116.338893419	46.877129
41198	36415499	-2.385427	0.922311	9.577351	-0.085205	0.143091	-0.019623	39.979427493	116.338893418	46.877095
41199	36415524	-2.389620	0.867268	9.582495	-0.084350	0.140803	-0.020243	39.979427492	116.338893416	46.877062
41200	36415549	-2.384138	0.839774	9.573080	-0.077620	0.136764	-0.018935	39.979427491	116.338893415	46.877030
41201	36415574	-2.364806	0.841190	9.554474	-0.079043	0.135602	-0.016747	39.979427490	116.338893414	46.876998
41202	36415599	-2.378740	0.832723	9.618297	-0.074197	0.131254	-0.015202	39.979427489	116.338893413	46.876967
41203	36415624	-2.486276	0.917854	9.677048	-0.068253	0.124595	-0.015593	39.979427488	116.338893412	46.876937
41204	36415649	-2.466836	0.956501	9.643921	-0.070557	0.125013	-0.017367	39.979427487	116.338893411	46.876908
41205	36415674	-2.425312	0.932048	9.561393	-0.073479	0.115779	-0.013617	39.979427486	116.338893410	46.879645
41206	36415699	-2.393595	0.881281	9.513354	-0.069958	0.115611	-0.015970	39.979427485	116.338893409	46.879620
41207	36415724	-2.378417	0.862033	9.503989	-0.071728	0.112738	-0.013849	39.979427484	116.338893408	46.879595
41208	36415749	-2.353488	0.880085	9.466816	-0.070451	0.104974	-0.012766	39.979427483	116.338893407	46.879570
41209	36415774	-2.270781	0.852621	9.444162	-0.071722	0.103725	-0.008129	39.979427482	116.338893406	46.879544
41210	36415799	-2.241793	0.876035	9.436273	-0.075611	0.108592	-0.008790	39.979427481	116.338893405	46.879519
41211	36415824	-2.209996	0.907785	9.407129	-0.079635	0.111802	-0.006188	39.979427480	116.338893404	46.879493
41212	36415849	-2.208555	0.895587	9.367176	-0.081062	0.118622	-0.011036	39.979427479	116.338893403	46.879467
41213	36415874	-2.194594	0.930091	9.326070	-0.079370	0.122975	-0.011587	39.979427478	116.338893402	46.879075
41214	36415899	-2.172404	0.970109	9.296954	-0.090550	0.123660	-0.013432	39.979427477	116.338893401	46.879046
41215	36415924	-2.161087	1.033776	9.201389	-0.100935	0.130109	-0.014271	39.979427476	116.338893400	46.879015
41216	36415949	-1.948130	1.104869	8.944998	-0.121674	0.145765	-0.006285	39.979427475	116.338893399	46.878982
41217	36415974	-1.796720	0.910930	8.911218	-0.142853	0.170128	-0.003706	39.979427473	116.338893398	46.878940
41218	36415999	-2.016482	0.943007	9.186535	-0.144698	0.181773	-0.007063	39.979427472	116.338893397	46.878899
41219	36416024	-2.057402	1.161958	9.144670	-0.158414	0.196378	-0.004677	39.979427471	116.338893396	46.878856
41220	36416049	-1.980192	1.113990	9.095338	-0.180177	0.215873	-0.013891	39.979427470	116.338893395	46.878811
41221	36416074	-2.023383	0.966267	9.217217	-0.192474	0.235043	-0.014633	39.979427469	116.338893393	46.880493
41222	36416099	-2.190574	0.894262	9.344576	-0.194792	0.243910	-0.017491	39.979427468	116.338893392	46.880445
41223	36416124	-2.302382	0.917318	9.439040	-0.194190	0.247106	-0.023139	39.979427467	116.338893391	46.880397
41224	36416149	-2.353506	0.915784	9.486889	-0.201297	0.249171	-0.021003	39.979427465	116.338893390	46.880349
41226	36416174	-2.437873	0.824678	9.563699	-0.202443	0.242008	-0.021577	39.979427464	116.338893389	46.880303
41228	36416199	-2.494557	0.787385	9.600780	-0.199394	0.247440	-0.017734	39.979427463	116.338893388	46.880256
41229	36416224	-2.580378	0.733249	9.736252	-0.192961	0.243428	-0.022700	39.979427462	116.338893387	46.880210
41230	36416249	-2.712928	0.737020	9.829282	-0.186338	0.233842	-0.023778	39.979427461	116.338893386	46.880166
41231	36416274	-2.618849	0.759503	9.700379	-0.184953	0.229599	-0.024258	39.979427495	116.338893059	46.885369
41232	36416299	-2.502685	0.788938	9.555557	-0.183964	0.228782	-0.020166	39.979427494	116.338893058	46.885338
41233	36416324	-2.549718	0.747494	9.604617	-0.175227	0.221099	-0.021224	39.979427493	116.338893056	46.885309
41234	36416349	-2.585978	0.682305	9.744051	-0.172448	0.212616	-0.025462	39.979427492	116.338893055	46.885281
41235	36416374	-2.555710	0.654769	9.734658	-0.154807	0.210309	-0.025946	39.979427491	116.338893054	46.885258
41236	36416399	-2.537733	0.645243	9.709373	-0.152887	0.205497	-0.025927	39.979427489	116.338893052	46.885233
